58,ALL WORKS COMMERCIAL COMPANY LTD,CONSTRUCTION OF A BLOCK OF 2 CLASSROOMS AT KUTEMESHE AND SHIKAIN B/GWARIGIWA LOCAL GOVT. KADUNA STATE,6755000,KADUNA,Construction Of A Block Of 2 Classrooms At Kutemeshe And Shikain B/Gwarigiwa Local Govt. Kaduna State,2016
59,FAVEH ENTERPRISES NIG.LTD,"CONSTRUCTION OF TWO (2) CLASSROOMS (REDUCE SIZE) @JANKASA, FADAN KAGORO, KAURA LOCAL GOVT. KADUNA STATE",6022006,KADUNA,"Construction Of Two (2) Classrooms (Reduce Size) @Jankasa, Fadan Kagoro, Kaura Local Govt. Kaduna State",2016
59,FRANCESTINE INT'L LTD,"CONSTRUCTION OF TWO (2) CLASSROOMS (REDUCE SIZE) @ DUTSE FADAN KAGORO, KAURA LOCAL GOVT. KADUNA STATE",6022006,KADUNA,"Construction Of Two (2) Classrooms (Reduce Size) @ Dutse Fadan Kagoro, Kaura Local Govt. Kaduna State",2016
60,GEOTECH TECHNOLOGIES LTD,"CONSTRUCTION OF A BLOCK OF 2 CLASSROOMS (REDUCE TYPE), 40 PUPILS DESKS/CHAIRS, 2 NOS TEACHERS TABLE/DESKS IN DOGUWA KANO STATE",9408750,KANO,"Construction Of A Block Of 2 Classrooms (Reduce Type), 40 Pupils Desks/Chairs, 2 Nos Teachers Table/Desks In Doguwa Kano State",2016
60,GEOTECH TECHNOLOGIESLTD,"CONSTRUCTION OF A BLOCK OF 2 CLASSROOMS (REDUCE TYPE), 40 PUPILS DESKS/CHAIRS, 2 NOS TEACHERS TABLE/DESKS IN DOGUWA KANO STATE",9408750,KANO,"Construction Of A Block Of 2 Classrooms (Reduce Type), 40 Pupils Desks/Chairs, 2 Nos Teachers Table/Desks In Doguwa Kano State",2016
60,ARCHFIRST NIG. LTD,"CONSTRUCTION OF A BLOCK OF 2 CLASSROOMS (REDUCE TYPE), 40 PUPILS DESKS/CHAIRS, 2 NOS TEACHERS TABLE/DESKS IN DOGUWA KANO STATE",9408750,KANO,"Construction Of A Block Of 2 Classrooms (Reduce Type), 40 Pupils Desks/Chairs, 2 Nos Teachers Table/Desks In Doguwa Kano State",2016
61,GEOTECH TECHNOLOGIESLTD,"CONSTRUCTION OF A BLOCK OF 2 CLASSROOMS (REDUCE TYPE), 40 PUPILS DESKS/CHAIRS, 2 NOS TEACHERS TABLE/DESKS IN T/WADA KANO STATE",9408750,KANO,"Construction Of A Block Of 2 Classrooms (Reduce Type), 40 Pupils Desks/Chairs, 2 Nos Teachers Table/Desks In T/Wada Kano State",2016
62,SHAMCHU LTD,"CONSTRUCTION OF 2 BLOCKS OF TWO CLASSROOMS, 80 NOS PUPILS DESKS/CHAIRS, 4 NOS TEACHER TABLE/CHAIR EACH IN GAYA/ALBASU/AJINGI FEDERAL CONSTITUENCY KANO STATE",19300000,KANO,"Construction Of 2 Blocks Of Two Classrooms, 80 Nos Pupils Desks/Chairs, 4 Nos Teacher Table/Chair Each In Gaya/Albasu/Ajingi Federal Constituency Kano State",2016
63,WISDOM ALUMINIUM METAL PRODUCT LTD,"CONSTRUCTION OF A COMPUTER ROOM OF ABOUT 45 SQUAREMETERS, FURNITURE WITH COMPUTERS AT JUNIOR SECONDARY SCHOOL IN A SELECTED SCHOOL IN KATSINA TOWN, KATSINA STATE",9650000,KATSINA,"Construction Of A Computer Room Of About 45 Squaremeters, Furniture With Computers At Junior Secondary School In A Selected School In Katsina Town, Katsina State",2016
64,A.D. MULTI BUSINESS LINKS COMPANY LTD,"CONSTRUCTION OF BLOCK OF 2 CLASSROOMS, 45 NOS PUPILS DESKS/CHAIRS, I NOS TEACHER TABLE/CHAIRS WITH 2 COMPARTMENT VIP TOILET AT KAWARA VILLAGE BIRNIN KEBBI LOCAL GOVT KEBBI STATE",9167500,KEBBI,"Construction Of Block Of 2 Classrooms, 45 Nos Pupils Desks/Chairs, I Nos Teacher Table/Chairs With 2 Compartment Vip Toilet At Kawara Village Birnin Kebbi Local Govt Kebbi State",2016
